mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Abril,Lunes,8,Quiche,99,Hombre,40,No Ebrio,Pick-up,Blanco,1989,Caida,2010
Noviembre,Jueves,8,Solola,99,Hombre,18,No Ebrio,Pick-up,Corinto,9999,Caida,2010
Julio,Viernes,8,Izabal,99,Hombre,23,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Septiembre,Sabado,8,Santa Rosa,99,Hombre,25,Ignorado,Pick-up,Rojo,9999,Choque,2010
Marzo,Sabado,8,Escuintla,99,Hombre,32,No Ebrio,Motocicleta,Negro,2007,Colision,2010
Abril,Jueves,9,Guatemala,10,Mujer,39,No Ebrio,Automovil,Cafe,2000,Colision,2010
Abril,Domingo,9,Peten,99,Hombre,22,No Ebrio,Mototaxi,Rojo,2005,Colision,2010
Agosto,Sabado,9,Guatemala,9,Hombre,21,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Abril,Sabado,9,Guatemala,11,Hombre,23,Ignorado,Motocicleta,Azul,9999,Colision,2010
Diciembre,Jueves,9,Guatemala,99,Hombre,36,Ignorado,Camion,Rojo,9999,Choque,2010
Marzo,Martes,9,Peten,99,Hombre,20,Ignorado,Pick-up,Negro,9999,Vuelco,2010
Septiembre,Miercoles,9,Escuintla,99,Hombre,28,Ignorado,Motocicleta,Negro,9999,Caida,2010
Noviembre,Sabado,9,Baja Verapaz,99,Hombre,31,Ignorado,Pick-up,Rojo,1987,Vuelco,2010
Marzo,Martes,9,Quiche,99,Hombre,53,Ignorado,Pick-up,Cafe,1987,Vuelco,2010
Mayo,Domingo,9,Escuintla,99,Hombre,21,No Ebrio,Camioneta,Ignorado,9999,"Derrumbe, Deslave, Erupción volcanica",2010
Mayo,Domingo,9,Solola,99,Hombre,999,No Ebrio,Pick-up,Blanco,9999,"Derrumbe, Deslave, Erupción volcanica",2010
Marzo,Sabado,9,Escuintla,99,Hombre,21,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Julio,Sabado,9,Izabal,99,Hombre,45,Ignorado,Pick-up,Rojo,9999,Choque,2010
Diciembre,Viernes,10,Guatemala,10,Ignorado,999,Ignorado,Bus urbano,Rojo,9999,Colision,2010
Febrero,Sabado,10,El Progreso,99,Hombre,30,No Ebrio,Motocicleta,Gris,9999,Colision,2010
Mayo,Jueves,10,Santa Rosa,99,Hombre,19,No Ebrio,Pick-up,Rojo,1986,Colision,2010
Abril,Sabado,10,Guatemala,99,Hombre,22,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Diciembre,Viernes,10,Chimaltenango,99,Hombre,43,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Junio,Viernes,10,Jutiapa,99,Hombre,22,No Ebrio,Automovil,Negro,2009,Colision,2010
Octubre,Domingo,10,Sacatepequez,99,Hombre,19,Ignorado,Motocicleta,Azul,9999,Colision,2010
Enero,Jueves,10,Escuintla,99,Hombre,63,No Ebrio,Camion,Blanco,9999,Colision,2010
Mayo,Domingo,10,Chimaltenango,99,Ignorado,999,Ignorado,Bus urbano,Verde,9999,Colision,2010
Diciembre,Martes,10,Escuintla,99,Hombre,40,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Julio,Viernes,10,Guatemala,6,Ignorado,999,Ignorado,Microbus,Amarillo,9999,Colision,2010
Diciembre,Domingo,10,Quetzaltenango,99,Hombre,45,No Ebrio,Camioneta,Rojo,9999,Caida,2010
Marzo,Miercoles,10,Jalapa,99,Hombre,55,Ignorado,Tractor,Ignorado,9999,Caida,2010
Mayo,Domingo,10,Baja Verapaz,99,Hombre,19,No Ebrio,Motocicleta,Negro,9999,"Derrumbe, Deslave, Erupción volcanica",2010
Diciembre,Viernes,11,Guatemala,7,Hombre,22,Ignorado,Panel,Blanco,2005,Choque,2010
Mayo,Domingo,11,Escuintla,99,Hombre,58,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Febrero,Martes,11,Suchitepequez,99,Hombre,40,Ignorado,Motocicleta,Rojo,2006,Colision,2010
Junio,Sabado,11,Jalapa,99,Hombre,18,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Enero,Miercoles,11,Guatemala,4,Hombre,34,Ignorado,Motocicleta,Negro,9999,Colision,2010
Septiembre,Viernes,11,Alta Verapaz,5,Hombre,24,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Enero,Domingo,11,Quiche,99,Hombre,34,Ignorado,Motocicleta,Amarillo,9999,Caida,2010
Marzo,Domingo,11,Jutiapa,99,Hombre,18,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Enero,Domingo,11,Jalapa,99,Hombre,32,Ignorado,Pick-up,Rojo,1987,Choque,2010
Mayo,Domingo,11,Chimaltenango,99,Hombre,22,No Ebrio,Pick-up,Rojo,9999,Choque,2010
Diciembre,Martes,11,Quetzaltenango,99,Hombre,40,No Ebrio,Pick-up,Azul,9999,Vuelco,2010
Marzo,Martes,11,Escuintla,99,Hombre,35,Ignorado,Cabezal,Blanco,2006,Choque,2010
Diciembre,Lunes,11,Baja Verapaz,99,Hombre,88,Ignorado,Pick-up,Gris,9999,Caida,2010
Septiembre,Sabado,12,Guatemala,12,Hombre,19,No Ebrio,Motocicleta,Negro,2006,Colision,2010
Octubre,Martes,12,El Progreso,99,Hombre,23,No Ebrio,Motocicleta,Negro,9999,Colision,2010
Marzo,Lunes,12,Chimaltenango,99,Hombre,28,Ignorado,Motocicleta,Azul,9999,Colision,2010
Marzo,Miercoles,12,Escuintla,99,Hombre,27,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Septiembre,Lunes,12,Escuintla,99,Hombre,19,No Ebrio,Motocicleta,Anaranjado,2005,Colision,2010
Diciembre,Domingo,12,Suchitepequez,99,Hombre,999,No Ebrio,Pick-up,Celeste,1986,Caida,2010
