"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2017,2,"20","18:00 a 23:59","Noche","Septiembre","Sábado","Oratorio","Santa Rosa","Ignorada","Hombre","20","20-24","20-24","20 - 24 ","No ebrio","Mayor","Automóvil","Chevrolet","Azul","1999","1990-1999","Colisión","2017"
2017,2,"22","18:00 a 23:59","Noche","Septiembre","Sábado","Totonicapán","Totonicapán","Ignorada","Hombre","33","30-34","30-34","30 - 34 ","Ebrio","Mayor","Pick up","Ignorado","Gris","Ignorado","Ignorado","Colisión","2017"
2017,2,"22","18:00 a 23:59","Noche","Septiembre","Sábado","Totonicapán","Totonicapán","Ignorada","Hombre","33","30-34","30-34","30 - 34 ","No ebrio","Mayor","Microbús","Ignorado","Corinto","Ignorado","Ignorado","Colisión","2017"
2017,2,"20","18:00 a 23:59","Noche","Septiembre","Sábado","Guatemala","Guatemala","1","Hombre","27","25-29","25-29","25 - 29 ","No ebrio","Mayor","Automóvil","Toyota","Gris","2000","2000-2009","Colisión","2017"
2017,2,"20","18:00 a 23:59","Noche","Septiembre","Sábado","Guatemala","Guatemala","1","Hombre","21","20-24","20-24","20 - 24 ","No ebrio","Mayor","Motocicleta","Honda","Blanco","2017","2010-2018","Colisión","2017"
2017,2,"19","18:00 a 23:59","Noche","Septiembre","Sábado","Puerto Barrios","Izabal","Ignorada","Hombre","20","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Freedom","Gris","Ignorado","Ignorado","Colisión","2017"
2017,2,"19","18:00 a 23:59","Noche","Septiembre","Sábado","Puerto Barrios","Izabal","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Cabezal","Internacional","Azul","Ignorado","Ignorado","Colisión","2017"
2017,2,"7","06:00 a 11:59","Mañana","Septiembre","Sábado","Antigua Guatemala","Sacatepéquez","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Automóvil","Mazda","Ignorado","Ignorado","Ignorado","Choque","2017"
2017,2,"1","00:00 a 05:59","Mañana","Septiembre","Sábado","Antigua Guatemala","Sacatepéquez","Ignorada","Hombre","24","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Bajaj","Ignorado","2016","2010-2018","Choque","2017"
2017,2,"13","12:00 a 17:59","Tarde","Septiembre","Sábado","Santa Bárbara","Suchitepéquez","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado ","Ignorado","Mayor","Camioneta","Toyota","Ignorado","Ignorado","Ignorado","Vuelco","2017"
2017,2,"17","12:00 a 17:59","Tarde","Septiembre","Sábado","Guatemala","Guatemala","7","Hombre","24","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Italika","Negro","Ignorado","Ignorado","Colisión","2017"
2017,2,"17","12:00 a 17:59","Tarde","Septiembre","Sábado","Guatemala","Guatemala","7","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Motocicleta","Italika","Verde","Ignorado","Ignorado","Colisión","2017"
2017,2,"14","12:00 a 17:59","Tarde","Septiembre","Sábado","Guatemala","Guatemala","5","Hombre","32","30-34","30-34","30 - 34 ","Ignorado","Mayor","Automóvil","Ignorado","Negro","Ignorado","Ignorado","Colisión","2017"
2017,2,"14","12:00 a 17:59","Tarde","Septiembre","Sábado","Guatemala","Guatemala","5","Hombre","20","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Colisión","2017"
