dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,sexo_pil,zona_ocu,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
3,6,Enero,Domingo,Jalapa,Hombre,Ignorada,28,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2016
3,14,Enero,Domingo,Chiquimula,Hombre,Ignorada,55,Ebrio,Mayor,Pick up,Toyota,Colisión,2016
3,14,Enero,Domingo,Chiquimula,Hombre,Ignorada,35,No ebrio,Mayor,Camioneta,Kia,Colisión,2016
3,13,Enero,Domingo,Chiquimula,Hombre,Ignorada,20,Ignorado,Mayor,Motocicleta,Ignorado,Caída,2016
3,19,Enero,Domingo,Zacapa,Hombre,Ignorada,30,No ebrio,Mayor,Automóvil,Kia,Colisión,2016
3,19,Enero,Domingo,Zacapa,Hombre,Ignorada,32,No ebrio,Mayor,Camioneta,Toyota,Colisión,2016
3,21,Enero,Domingo,Zacapa,Hombre,Ignorada,24,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
3,1,Enero,Domingo,El Progreso,Hombre,Ignorada,32,Ignorado,Mayor,Cabezal,Freightliner,Colisión,2016
3,1,Enero,Domingo,El Progreso,Hombre,Ignorada,32,Ignorado,Mayor,Automóvil,Mazda,Colisión,2016
3,1,Enero,Domingo,El Progreso,Hombre,Ignorada,34,Ignorado,Mayor,Microbús,Hyundai,Colisión,2016
3,1,Enero,Domingo,El Progreso,Hombre,Ignorada,19,Ignorado,Mayor,Automóvil,Ignorado,Choque,2016
3,0,Enero,Domingo,Izabal,Hombre,Ignorada,22,Ebrio,Mayor,Moto taxi,Ignorado,Choque,2016
3,21,Enero,Domingo,Peten,Hombre,Ignorada,22,No ebrio,Mayor,Motocicleta,Bajaj,Caída,2016
3,13,Enero,Domingo,Sololá,Hombre,Ignorada,29,No ebrio,Mayor,Bus urbano,Toyota,Choque,2016
3,2,Enero,Domingo,Chimaltenango,Hombre,Ignorada,29,No ebrio,Mayor,Automóvil,Nissan,Choque,2016
3,17,Enero,Domingo,Chimaltenango,Hombre,Ignorada,44,Ebrio,Mayor,Camioneta,Datsun,Colisión,2016
3,17,Enero,Domingo,Chimaltenango,Hombre,Ignorada,19,No ebrio,Mayor,Moto taxi,Bajaj,Colisión,2016
3,20,Enero,Domingo,Sacatepéquez,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
3,20,Enero,Domingo,Sacatepéquez,Hombre,Ignorada,29,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
4,6,Enero,Lunes,Escuintla,Mujer,Ignorada,18,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2016
4,20,Enero,Lunes,Totonicapán,Hombre,Ignorada,32,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
4,20,Enero,Lunes,Totonicapán,Hombre,Ignorada,31,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
4,15,Enero,Lunes,Izabal,Hombre,Ignorada,45,No ebrio,Mayor,Camioneta,Honda,Colisión,2016
4,15,Enero,Lunes,Izabal,Hombre,Ignorada,31,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
4,21,Enero,Lunes,Quiche,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Camioneta,Hummer,Colisión,2016
4,21,Enero,Lunes,Quiche,Hombre,Ignorada,22,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
4,22,Enero,Lunes,Sacatepéquez,Hombre,Ignorada,35,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
4,22,Enero,Lunes,Sacatepéquez,Hombre,Ignorada,27,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2016
5,10,Enero,Martes,Jutiapa,Hombre,Ignorada,75,Ignorado,Mayor,Camión,Isuzu,Vuelco,2016
5,14,Enero,Martes,Zacapa,Mujer,Ignorada,15,No ebrio,Menor,Motocicleta,Ignorado,Colisión,2016
5,14,Enero,Martes,Zacapa,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Tractor,Ignorado,Colisión,2016
5,23,Enero,Martes,Zacapa,Hombre,Ignorada,35,Ignorado,Mayor,Motocicleta,Suzuki,Choque,2016
5,9,Enero,Martes,Escuintla,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
5,9,Enero,Martes,Escuintla,Hombre,Ignorada,18,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
5,19,Enero,Martes,San Marcos,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
5,17,Enero,Martes,San Marcos,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
5,17,Enero,Martes,San Marcos,Hombre,Ignorada,21,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
5,0,Enero,Martes,Huehuetenango,Hombre,Ignorada,26,Ignorado,Mayor,Motocicleta,Serpento,Caída,2016
5,1,Enero,Martes,Huehuetenango,Hombre,Ignorada,43,Ignorado,Mayor,Automóvil,Mazda,Colisión,2016
5,1,Enero,Martes,Huehuetenango,Hombre,Ignorada,37,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
5,19,Enero,Martes,Totonicapán,Hombre,Ignorada,23,Ebrio,Mayor,Motocicleta,Yamaha,Colisión,2016
5,19,Enero,Martes,Totonicapán,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
5,20,Enero,Martes,Izabal,Hombre,Ignorada,23,Ignorado,Mayor,Motocicleta,Bajaj,Caída,2016
6,23,Enero,Miércoles,Guatemala,Hombre,7,29,Ebrio,Mayor,Automóvil,Ignorado,Colisión,2016
6,23,Enero,Miércoles,Guatemala,Hombre,7,38,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
6,22,Enero,Miércoles,Guatemala,Hombre,Ignorada,30,No ebrio,Mayor,Pick up,Mazda,Colisión,2016
6,22,Enero,Miércoles,Guatemala,Hombre,Ignorada,53,No ebrio,Mayor,Automóvil,Hyundai,Colisión,2016
6,19,Enero,Miércoles,Zacapa,Hombre,Ignorada,25,Ebrio,Mayor,Camioneta,Toyota,Colisión,2016
6,18,Enero,Miércoles,Escuintla,Hombre,Ignorada,31,Ebrio,Mayor,Grúa,Nissan,Colisión,2016
6,19,Enero,Miércoles,Retalhuleu,Hombre,Ignorada,59,No ebrio,Mayor,Cabezal,Internacional,Colisión,2016
6,19,Enero,Miércoles,Retalhuleu,Hombre,Ignorada,22,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
6,7,Enero,Miércoles,Quetzaltenango,Hombre,Ignorada,23,No ebrio,Mayor,Microbús,Nissan,Colisión,2016
7,8,Enero,Jueves,Guatemala,Hombre,9,45,No ebrio,Mayor,Camioneta,Honda,Colisión,2016
7,8,Enero,Jueves,Guatemala,Hombre,9,68,No ebrio,Mayor,Motocicleta,Honda,Colisión,2016
7,6,Enero,Jueves,Guatemala,Hombre,18,42,No ebrio,Mayor,Cabezal,Ignorado,Colisión,2016
7,6,Enero,Jueves,Guatemala,Mujer,18,39,No ebrio,Mayor,Automóvil,Toyota,Colisión,2016
7,2,Enero,Jueves,Guatemala,Hombre,11,28,Ignorado,Mayor,Motocicleta,Bajaj,Choque,2016
7,16,Enero,Jueves,Guatemala,Hombre,Ignorada,34,No ebrio,Mayor,Camión,Hino,Colisión,2016
7,16,Enero,Jueves,Guatemala,Hombre,Ignorada,20,No ebrio,Mayor,Motocicleta,Bajaj,Colisión,2016
7,21,Enero,Jueves,Escuintla,Hombre,Ignorada,40,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
7,21,Enero,Jueves,Escuintla,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Camión,Ignorado,Colisión,2016
7,20,Enero,Jueves,Escuintla,Hombre,Ignorada,25,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
7,20,Enero,Jueves,Escuintla,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
7,19,Enero,Jueves,Baja Verapaz,Hombre,Ignorada,58,Ebrio,Mayor,Pick up,Toyota,Choque,2016
7,19,Enero,Jueves,Baja Verapaz,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Camioneta,Toyota,Choque,2016
7,17,Enero,Jueves,Peten,Hombre,Ignorada,31,Ebrio,Mayor,Automóvil,Honda,Choque,2016
7,8,Enero,Jueves,Chimaltenango,Hombre,Ignorada,38,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
7,8,Enero,Jueves,Chimaltenango,Hombre,Ignorada,48,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
8,11,Enero,Viernes,Guatemala,Hombre,Ignorada,24,Ignorado,Mayor,Automóvil,Mitsubishi,Colisión,2016
8,11,Enero,Viernes,Guatemala,Hombre,Ignorada,30,Ignorado,Mayor,Pick up,Mazda,Colisión,2016
8,0,Enero,Viernes,Guatemala,Ignorado,18,Ignorada,Ignorado,Ignorado,Camioneta,Mazda,Choque,2016
8,17,Enero,Viernes,Guatemala,Hombre,18,21,Ignorado,Mayor,Motocicleta,Suzuki,Colisión,2016
8,17,Enero,Viernes,Guatemala,Hombre,18,Ignorada,Ignorado,Mayor,Bus urbano,Internacional,Colisión,2016
8,14,Enero,Viernes,Guatemala,Mujer,Ignorada,37,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
8,14,Enero,Viernes,Guatemala,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2016
8,22,Enero,Viernes,Guatemala,Hombre,Ignorada,21,Ignorado,Mayor,Motocicleta,Ignorado,Caída,2016
8,19,Enero,Viernes,Zacapa,Hombre,Ignorada,28,Ignorado,Mayor,Bus urbano,Mercedes Benz,Colisión,2016
8,19,Enero,Viernes,Zacapa,Hombre,Ignorada,59,Ignorado,Mayor,Microbús,Toyota,Colisión,2016
8,12,Enero,Viernes,Zacapa,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2016
8,12,Enero,Viernes,Zacapa,Mujer,Ignorada,27,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
8,14,Enero,Viernes,Escuintla,Hombre,Ignorada,Ignorada,No ebrio,Mayor,Cabezal,Ignorado,Colisión,2016
8,14,Enero,Viernes,Escuintla,Hombre,Ignorada,45,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
8,20,Enero,Viernes,Suchitepéquez,Hombre,Ignorada,18,Ebrio,Mayor,Moto taxi,Ignorado,Colisión,2016
8,20,Enero,Viernes,Suchitepéquez,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Camión,Ignorado,Colisión,2016
8,23,Enero,Viernes,Quetzaltenango,Hombre,Ignorada,45,Ignorado,Mayor,Panel,Chevrolet,Choque,2016
8,23,Enero,Viernes,Quetzaltenango,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Camión,Isuzu,Choque,2016
8,18,Enero,Viernes,El Progreso,Hombre,Ignorada,42,Ignorado,Mayor,Camioneta,Nissan,Colisión,2016
8,18,Enero,Viernes,El Progreso,Hombre,Ignorada,Ignorada,Ignorado,Mayor,Camión,Internacional,Colisión,2016
8,22,Enero,Viernes,Quiche,Hombre,Ignorada,29,Ignorado,Mayor,Automóvil,Mazda,Choque,2016
8,13,Enero,Viernes,Quiche,Hombre,Ignorada,Ignorada,Ignorado,Mayor,Camión,Ignorado,Colisión,2016
8,13,Enero,Viernes,Quiche,Hombre,Ignorada,17,Ignorado,Menor,Motocicleta,Ignorado,Colisión,2016
9,0,Enero,Sábado,Guatemala,Hombre,1,25,Ignorado,Mayor,Automóvil,Toyota,Colisión,2016
9,0,Enero,Sábado,Guatemala,Hombre,1,21,Ignorado,Mayor,Camioneta,Ignorado,Colisión,2016
9,13,Enero,Sábado,Guatemala,Hombre,9,22,Ignorado,Mayor,Microbús,Toyota,Colisión,2016
9,13,Enero,Sábado,Guatemala,Hombre,9,35,Ignorado,Mayor,Motocicleta,Honda,Colisión,2016
9,4,Enero,Sábado,Guatemala,Mujer,6,32,Ebrio,Mayor,Motocicleta,Italika,Choque,2016
9,4,Enero,Sábado,Guatemala,Ignorado,6,Ignorada,Ignorado,Ignorado,Automóvil,Mitsubishi,Choque,2016
9,2,Enero,Sábado,Guatemala,Hombre,6,60,Ignorado,Mayor,Automóvil,Mazda,Colisión,2016
9,2,Enero,Sábado,Guatemala,Hombre,6,33,Ignorado,Mayor,Motocicleta,Suzuki,Colisión,2016
9,21,Enero,Sábado,Guatemala,Hombre,5,22,Ignorado,Mayor,Motocicleta,Honda,Colisión,2016
9,21,Enero,Sábado,Guatemala,Hombre,5,20,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
9,23,Enero,Sábado,Guatemala,Hombre,7,21,Ebrio,Mayor,Bus urbano,Ignorado,Colisión,2016
9,23,Enero,Sábado,Guatemala,Ignorado,7,Ignorada,Ignorado,Ignorado,Automóvil,Isuzu,Colisión,2016
9,23,Enero,Sábado,Guatemala,Ignorado,7,Ignorada,Ignorado,Ignorado,Automóvil,Nissan,Colisión,2016
9,23,Enero,Sábado,Guatemala,Hombre,7,30,Ignorado,Mayor,Automóvil,Ignorado,Colisión,2016
9,23,Enero,Sábado,Guatemala,Hombre,7,30,Ignorado,Mayor,Taxi,Toyota,Colisión,2016
9,23,Enero,Sábado,Guatemala,Ignorado,7,Ignorada,Ignorado,Ignorado,Automóvil,Kia,Colisión,2016
9,23,Enero,Sábado,Guatemala,Ignorado,7,Ignorada,Ignorado,Ignorado,Automóvil,Mitsubishi,Colisión,2016
9,23,Enero,Sábado,Guatemala,Hombre,Ignorada,26,Ebrio,Mayor,Motocicleta,Hero Hunk,Colisión,2016
9,7,Enero,Sábado,Guatemala,Hombre,Ignorada,Ignorada,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
9,18,Enero,Sábado,Santa Rosa,Hombre,Ignorada,52,Ebrio,Mayor,Automóvil,Hyundai,Choque,2016
9,21,Enero,Sábado,Santa Rosa,Hombre,Ignorada,30,No ebrio,Mayor,Camión,Ford,Colisión,2016
9,21,Enero,Sábado,Santa Rosa,Hombre,Ignorada,29,Ebrio,Mayor,Panel,Mitsubishi,Colisión,2016
9,0,Enero,Sábado,Suchitepéquez,Hombre,Ignorada,33,Ignorado,Mayor,Motocicleta,Suzuki,Colisión,2016
9,0,Enero,Sábado,Suchitepéquez,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Automóvil,Volkswagen,Colisión,2016
9,17,Enero,Sábado,Quetzaltenango,Hombre,Ignorada,31,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
9,17,Enero,Sábado,Quetzaltenango,Hombre,Ignorada,16,Ignorado,Menor,Motocicleta,Bajaj,Colisión,2016
9,3,Enero,Sábado,San Marcos,Hombre,Ignorada,28,Ebrio,Mayor,Motocicleta,Honda,Colisión,2016
9,3,Enero,Sábado,San Marcos,Hombre,Ignorada,46,Ignorado,Mayor,Cabezal,Freightliner,Colisión,2016
9,10,Enero,Sábado,San Marcos,Hombre,Ignorada,20,Ignorado,Mayor,Motocicleta,Ignorado,Caída,2016
9,16,Enero,Sábado,Huehuetenango,Hombre,Ignorada,34,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
9,16,Enero,Sábado,Huehuetenango,Hombre,Ignorada,32,Ignorado,Mayor,Motocicleta,Honda,Colisión,2016
9,7,Enero,Sábado,Peten,Hombre,Ignorada,24,Ignorado,Mayor,Motocicleta,Honda,Caída,2016
9,18,Enero,Sábado,Sacatepéquez,Hombre,Ignorada,71,Ignorado,Mayor,Camioneta,Suzuki,Colisión,2016
9,18,Enero,Sábado,Sacatepéquez,Hombre,Ignorada,45,Ignorado,Mayor,Automóvil,Mitsubishi,Colisión,2016
10,1,Enero,Domingo,Guatemala,Hombre,9,30,Ignorado,Mayor,Motocicleta,Ignorado,Choque,2016
10,3,Enero,Domingo,Guatemala,Mujer,21,27,Ignorado,Mayor,Automóvil,Hyundai,Colisión,2016
10,3,Enero,Domingo,Guatemala,Hombre,21,19,Ignorado,Mayor,Motocicleta,Ignorado,Colisión,2016
10,2,Enero,Domingo,Guatemala,Hombre,11,47,Ignorado,Mayor,Motocicleta,Bajaj,Colisión,2016
10,2,Enero,Domingo,Guatemala,Ignorado,11,Ignorada,Ignorado,Ignorado,Automóvil,Ignorado,Colisión,2016
